callback_id,wcet,period,priority,node_id,chain_id,is_timer_callback,assigned_executor_id
0,2.3,80,1,0,0,True,14
1,16.1,80,2,1,0,False,13
2,2.3,80,3,0,1,True,14
3,2.2,80,4,2,1,False,14
4,18.4,80,5,3,1,False,14
5,9.1,80,6,4,1,False,14
6,23.1,100,7,5,2,True,14
7,7.9,100,8,6,2,False,14
8,14.2,100,9,7,2,False,14
9,17.9,100,10,8,2,False,15
10,20.6,100,11,9,3,True,15
11,17.9,100,12,10,3,False,15
12,6.6,100,13,11,3,False,15
13,1.7,160,14,12,4,True,15
14,11,160,15,13,4,False,15
15,6.6,160,16,14,4,False,15
16,7.9,160,17,15,4,False,15
17,1.7,1000,18,16,5,True,15
18,195.9,1000,19,17,5,False,15
19,33.2,120,20,18,6,True,16
20,2.2,120,21,19,6,False,16
21,33.2,120,22,20,7,True,16
22,6.6,120,23,21,7,False,16
23,33.2,120,24,22,8,True,16
24,6.6,120,25,23,8,False,17
25,33.2,120,26,24,9,True,17
26,1.7,120,27,25,9,False,17
27,33.2,120,28,26,10,True,17
28,2.2,120,29,27,10,False,17
29,33.2,120,30,28,11,True,17
30,2.2,120,31,29,11,False,17
